İsim,Seviye,Tam İsim
SINIRÜSTÜ,3,İSKELE / MERKEZ / SINIRÜSTÜ
TOPÇUKÖY,3,İSKELE / MERKEZ / TOPÇUKÖY
TURNALAR,3,İSKELE / MERKEZ / TURNALAR
YARKÖY,3,İSKELE / MERKEZ / YARKÖY
ADAÇAY,3,İSKELE / YENİERENKÖY / ADAÇAY
AVTEPE,3,İSKELE / YENİERENKÖY / AVTEPE
BOLTAŞLI,3,İSKELE / YENİERENKÖY / BOLTAŞLI
DERİNCE,3,İSKELE / YENİERENKÖY / DERİNCE
ESENKÖY,3,İSKELE / YENİERENKÖY / ESENKÖY
GELİNCİK,3,İSKELE / YENİERENKÖY / GELİNCİK
KURUOVA,3,İSKELE / YENİERENKÖY / KURUOVA
SİPAHİ,3,İSKELE / YENİERENKÖY / SİPAHİ
TAŞLICA,3,İSKELE / YENİERENKÖY / TAŞLICA
MERKEZ,3,İSKELE / YENİERENKÖY / MERKEZ
YEŞİLKÖY,3,İSKELE / YENİERENKÖY / YEŞİLKÖY
ZİYAMET,3,İSKELE / YENİERENKÖY / ZİYAMET
BADEMLİKÖY,3,LEFKE / MERKEZ / BADEMLİKÖY
BAĞLIKÖY,3,LEFKE / MERKEZ / BAĞLIKÖY
CENGİZKÖY,3,LEFKE / MERKEZ / CENGİZKÖY
ÇAMLIKÖY,3,LEFKE / MERKEZ / ÇAMLIKÖY
DENİZLİ,3,LEFKE / MERKEZ / DENİZLİ
DOĞANCI,3,LEFKE / MERKEZ / DOĞANCI
GAZİVEREN,3,LEFKE / MERKEZ / GAZİVEREN
GEMİKONAĞI,3,LEFKE / MERKEZ / GEMİKONAĞI
LEFKE,3,LEFKE / MERKEZ / LEFKE
TAŞPINAR,3,LEFKE / MERKEZ / TAŞPINAR
YEDİDALGA,3,LEFKE / MERKEZ / YEDİDALGA
YEŞİLIRMAK,3,LEFKE / MERKEZ / YEŞİLIRMAK
YEŞİLYURT,3,LEFKE / MERKEZ / YEŞİLYURT
MERKEZ,3,LEFKOŞA / AKINCILAR / MERKEZ
ALAYKÖY ORGANİZE SANAYİ BÖLGESİ,3,LEFKOŞA / ALAYKÖY / ALAYKÖY ORGANİZE SANAYİ BÖLGESİ
MERKEZ,3,LEFKOŞA / ALAYKÖY / MERKEZ
TÜRKELİ,3,LEFKOŞA / ALAYKÖY / TÜRKELİ
YILMAZKÖY,3,LEFKOŞA / ALAYKÖY / YILMAZKÖY
BAHÇELİEVLER,3,LEFKOŞA / DEĞİRMENLİK / BAHÇELİEVLER
BALIKESİR,3,LEFKOŞA / DEĞİRMENLİK / BALIKESİR
BAŞPINAR,3,LEFKOŞA / DEĞİRMENLİK / BAŞPINAR
BEYKÖY,3,LEFKOŞA / DEĞİRMENLİK / BEYKÖY
CAMİALTI,3,LEFKOŞA / DEĞİRMENLİK / CAMİALTI
CİHANGİR,3,LEFKOŞA / DEĞİRMENLİK / CİHANGİR
ÇUKUROVA,3,LEFKOŞA / DEĞİRMENLİK / ÇUKUROVA
DEMİRHAN,3,LEFKOŞA / DEĞİRMENLİK / DEMİRHAN
DİLEKKAYA,3,LEFKOŞA / DEĞİRMENLİK / DİLEKKAYA
DÜZOVA,3,LEFKOŞA / DEĞİRMENLİK / DÜZOVA
ERDEMLİ,3,LEFKOŞA / DEĞİRMENLİK / ERDEMLİ
GAZİKÖY,3,LEFKOŞA / DEĞİRMENLİK / GAZİKÖY
GÖKHAN,3,LEFKOŞA / DEĞİRMENLİK / GÖKHAN
KALAVAÇ,3,LEFKOŞA / DEĞİRMENLİK / KALAVAÇ
KIRIKKALE,3,LEFKOŞA / DEĞİRMENLİK / KIRIKKALE
KIRKLAR,3,LEFKOŞA / DEĞİRMENLİK / KIRKLAR
MEHMETÇİK,3,LEFKOŞA / DEĞİRMENLİK / MEHMETÇİK
MERİÇ,3,LEFKOŞA / DEĞİRMENLİK / MERİÇ
MİNARELİKÖY,3,LEFKOŞA / DEĞİRMENLİK / MİNARELİKÖY
SARAY,3,LEFKOŞA / DEĞİRMENLİK / SARAY
TEPEBAŞI,3,LEFKOŞA / DEĞİRMENLİK / TEPEBAŞI
YENİCEKÖY,3,LEFKOŞA / DEĞİRMENLİK / YENİCEKÖY
YİĞİTLER,3,LEFKOŞA / DEĞİRMENLİK / YİĞİTLER
KANLIKÖY,3,LEFKOŞA / GÖNYELİ / KANLIKÖY
MERKEZ,3,LEFKOŞA / GÖNYELİ / MERKEZ
YENİKENT,3,LEFKOŞA / GÖNYELİ / YENİKENT
ABDİ ÇAVUŞ,3,LEFKOŞA / MERKEZ / ABDİ ÇAVUŞ
AKKAVUK,3,LEFKOŞA / MERKEZ / AKKAVUK
ARABAHMET,3,LEFKOŞA / MERKEZ / ARABAHMET
AYYILDIZ,3,LEFKOŞA / MERKEZ / AYYILDIZ
ÇAĞLAYAN,3,LEFKOŞA / MERKEZ / ÇAĞLAYAN
GÖÇMENKÖY,3,LEFKOŞA / MERKEZ / GÖÇMENKÖY
HAMİTKÖY,3,LEFKOŞA / MERKEZ / HAMİTKÖY
HASPOLAT,3,LEFKOŞA / MERKEZ / HASPOLAT
HASPOLAT ORGANİZE SANAYİ BÖLGESİ,3,LEFKOŞA / MERKEZ / HASPOLAT ORGANİZE SANAYİ BÖLGESİ
HAYDARPAŞA,3,LEFKOŞA / MERKEZ / HAYDARPAŞA
İBRAHİMPAŞA,3,LEFKOŞA / MERKEZ / İBRAHİMPAŞA
İPLİKPAZARI,3,LEFKOŞA / MERKEZ / İPLİKPAZARI
KAFESLİ,3,LEFKOŞA / MERKEZ / KAFESLİ
KARAMANZADE,3,LEFKOŞA / MERKEZ / KARAMANZADE
KIZILBAŞ (KIZILAY),3,LEFKOŞA / MERKEZ / KIZILBAŞ (KIZILAY )
KÖŞKLÜÇİFTLİK,3,LEFKOŞA / MERKEZ / KÖŞKLÜÇİFTLİK
KUMSAL,3,LEFKOŞA / MERKEZ / KUMSAL
LEFKOŞA KÜÇÜK ESNAF SANAYİ BÖLGESİ,3,LEFKOŞA / MERKEZ / KÜÇÜK ESNAF SANAYİ BÖLGESİ
KÜÇÜK KAYMAKLI,3,LEFKOŞA / MERKEZ / KÜÇÜK KAYMAKLI
MAHMUTPAŞA,3,LEFKOŞA / MERKEZ / MAHMUTPAŞA
MARMARA,3,LEFKOŞA / MERKEZ / MARMARA
METEHAN,3,LEFKOŞA / MERKEZ / METEHAN
LEFKOŞA ORGANİZE SANAYİ BÖLGESİ,3,LEFKOŞA / MERKEZ / ORGANİZE SANAYİ BÖLGESİ
ORTAKÖY,3,LEFKOŞA / MERKEZ / ORTAKÖY
SELİMİYE,3,LEFKOŞA / MERKEZ / SELİMİYE
LEFKOŞA SURLARİÇİ KÜÇÜK ESNAF SANAYİ BÖLGESİ,3,LEFKOŞA / MERKEZ / SURLARİÇİ KÜÇÜK ESNAF SANAYİ BÖLGESİ
TAŞKINKÖY,3,LEFKOŞA / MERKEZ / TAŞKINKÖY
YENİCAMİ,3,LEFKOŞA / MERKEZ / YENİCAMİ
YENİŞEHİR,3,LEFKOŞA / MERKEZ / YENİŞEHİR
GÜVENCİNLİK ORGANİZE SANAYİ BÖLGESİ,3,MAĞUSA / BEYARMUDU / GÜVENCİNLİK ORGANİZE SANAYİ BÖLGESİ
VADİLİ KÜÇÜK ESNAF SANAYİ BÖLGESİ,3,MAĞUSA / VADİLİ / VADİLİ KÜÇÜK ESNAF SANAYİ BÖLGESİ
MERKEZ,3,MAĞUSA / AKDOĞAN / MERKEZ
MERKEZ,3,MAĞUSA / BEYARMUDU / MERKEZ
ÇAYÖNÜ,3,MAĞUSA / BEYARMUDU / ÇAYÖNÜ
GÜVERCİNLİK,3,MAĞUSA / BEYARMUDU / GÜVERCİNLİK
İNCİRLİ,3,MAĞUSA / BEYARMUDU / İNCİRLİ
KÖPRÜLÜ,3,MAĞUSA / BEYARMUDU / KÖPRÜLÜ
TÜRKMENKÖY,3,MAĞUSA / BEYARMUDU / TÜRKMENKÖY
ÇAMLICA,3,MAĞUSA / GEÇİTKALE / ÇAMLICA
ÇINARLI,3,MAĞUSA / GEÇİTKALE / ÇINARLI
MERKEZ,3,MAĞUSA / GEÇİTKALE / MERKEZ
MALLIDAĞ,3,MAĞUSA / GEÇİTKALE / MALLIDAĞ
NERGİSLİ,3,MAĞUSA / GEÇİTKALE / NERGİSLİ
SÜTLÜCE,3,MAĞUSA / GEÇİTKALE / SÜTLÜCE
YAMAÇKÖY,3,MAĞUSA / GEÇİTKALE / YAMAÇKÖY
DÖRTYOL,3,MAĞUSA / İNÖNÜ / DÖRTYOL
KORKUTELİ,3,MAĞUSA / İNÖNÜ / KORKUTELİ
MERKEZ,3,MAĞUSA / İNÖNÜ / MERKEZ
PİRHAN,3,MAĞUSA / İNÖNÜ / PİRHAN
ANADOLU,3,MAĞUSA / MERKEZ / ANADOLU
BAYKAL,3,MAĞUSA / MERKEZ / BAYKAL
CANBULAT,3,MAĞUSA / MERKEZ / CANBULAT
ÇANAKKALE,3,MAĞUSA / MERKEZ / ÇANAKKALE
DUMLUPINAR,3,MAĞUSA / MERKEZ / DUMLUPINAR
HARİKA,3,MAĞUSA / MERKEZ / HARİKA
KARAKOL,3,MAĞUSA / MERKEZ / KARAKOL
LALA MUSTAFA PAŞA,3,MAĞUSA / MERKEZ / LALA MUSTAFA PAŞA
MARAŞ,3,MAĞUSA / MERKEZ / MARAŞ
MUTLUYAKA,3,MAĞUSA / MERKEZ / MUTLUYAKA
NAMIK KEMAL,3,MAĞUSA / MERKEZ / NAMIK KEMAL
MAĞUSA ORGANİZE SANAYİ BÖLGESİ,3,MAĞUSA / MERKEZ / ORGANİZE SANAYİ BÖLGESİ
PERTEV PAŞA,3,MAĞUSA / MERKEZ / PERTEV PAŞA
PİYALE PAŞA,3,MAĞUSA / MERKEZ / PİYALE PAŞA
SAKARYA,3,MAĞUSA / MERKEZ / SAKARYA
SURİÇİ,3,MAĞUSA / MERKEZ / SURİÇİ
TUZLA,3,MAĞUSA / MERKEZ / TUZLA
ZAFER,3,MAĞUSA / MERKEZ / ZAFER
ASLANKÖY,3,MAĞUSA / PAŞAKÖY / ASLANKÖY
KURUDERE,3,MAĞUSA / PAŞAKÖY / KURUDERE
MERKEZ,3,MAĞUSA / PAŞAKÖY / MERKEZ
ULUKIŞLA,3,MAĞUSA / PAŞAKÖY / ULUKIŞLA
MERKEZ,3,MAĞUSA / PİLE / MERKEZ
ERGENEKON,3,MAĞUSA / SERDARLI / ERGENEKON
GÖNENDERE,3,MAĞUSA / SERDARLI / GÖNENDERE
GÖRNEÇ,3,MAĞUSA / SERDARLI / GÖRNEÇ
PINARLI,3,MAĞUSA / SERDARLI / PINARLI
MERKEZ,3,MAĞUSA / SERDARLI / MERKEZ
TİRMEN,3,MAĞUSA / SERDARLI / TİRMEN
AKTUNÇ,3,MAĞUSA / TATLISU / AKTUNÇ
KÜÇÜKERENKÖY,3,MAĞUSA / TATLISU / KÜÇÜKERENKÖY
YALI,3,MAĞUSA / TATLISU / YALI
TURUNÇLU,3,MAĞUSA / VADİLİ / TURUNÇLU
MERKEZ,3,MAĞUSA / VADİLİ / MERKEZ
AKOVA,3,MAĞUSA / YENİBOĞAZİÇİ / AKOVA
ALANİÇİ,3,MAĞUSA / YENİBOĞAZİÇİ / ALANİÇİ
ATLILAR,3,MAĞUSA / YENİBOĞAZİÇİ / ATLILAR
YENİBOĞAZİÇİ KÜÇÜK ESNAF SANAYİ BÖLGESİ,3,MAĞUSA / YENİBOĞAZİÇİ / KÜÇÜK ESNAF SANAYİ BÖLGESİ
MORMENEKŞE,3,MAĞUSA / YENİBOĞAZİÇİ / MORMENEKŞE
MURATAĞA,3,MAĞUSA / YENİBOĞAZİÇİ / MURATAĞA
SANDALLAR,3,MAĞUSA / YENİBOĞAZİÇİ / SANDALLAR
MERKEZ,3,MAĞUSA / YENİBOĞAZİÇİ / MERKEZ
YILDIRIM,3,MAĞUSA / YENİBOĞAZİÇİ / YILDIRIM
MAĞUSA KÜÇÜK SANAYİ BÖLGESİ,3,MAĞUSA /MERKEZ / KÜÇÜK SANAYİ BÖLGESİ
